company_id,move_id,move_type,name,ref,payment_reference,src_state,aeat_send_error
1,15845,in_invoice,S/FRA/2023/1013,OO/2023/013,"",sent,""
1,16640,in_invoice,S/FRA/2024/0081,FV21747,Mantenimiento Odoo,sent,""
1,18376,in_invoice,S/FRA/2024/0286,FV21838,Mantenimiento Odoo,sent,""
1,26711,in_invoice,S/FRA/2025/0748,ES5815TABEY,"",not_sent,""
1,16085,in_invoice,S/FRA/2024/0011,FV21714,Mantenimiento Odoo,sent,""
1,18941,in_invoice,S/FRA/2024/0344,FV21894,Mantenimiento Odoo,sent,""
1,18889,in_invoice,S/FRA/2024/0353,FV21864,Mantenimiento Odoo,sent,""
1,23789,in_invoice,S/FRA/2025/0234,OVIE-250067,"",sent,""
1,21148,in_invoice,S/FRA/2024/0800,FV21971,Mantenimiento Odoo,sent,""
1,19352,in_invoice,S/FRA/2024/0572,FV21919,Mantenimiento Odoo,sent,""
1,21125,in_invoice,S/FRA/2024/0775,1122-2024,"",sent,""
1,19720,in_invoice,S/FRA/2024/0573,FV21945,Mantenimiento Odoo,sent,""
1,26718,in_invoice,S/FRA/2025/0751,AP-2/2025,"",not_sent,""
1,11387,in_invoice,S/FRA/2023/0267,211140030,"",sent,""
1,11397,in_invoice,S/FRA/2023/0277,301210019,"",sent,""
1,16546,in_invoice,S/FRA/2024/0108,2024000782,"",sent,""
1,4034,in_invoice,S/FRA/2022/0151,BL7/2021/1/41650,"",sent,""
1,4035,in_invoice,S/FRA/2022/0139,BL7/2021/1/40984,"",sent,""
1,21446,in_invoice,S/FRA/2024/0900,FV22029,Mantenimiento Odoo,sent,""
1,21514,in_invoice,S/FRA/2024/0880,FA2400474,"",sent,""
1,16013,in_invoice,S/FRA/2023/1133,BL7/2023/1/27196,"",sent,""
1,16030,in_invoice,S/FRA/2023/1069,BL7/2023/19976,"",sent,""
1,16011,in_invoice,S/FRA/2023/1074,BL7/2023/2/24344,"",sent,""
1,19507,in_invoice,S/FRA/2024/0434,TB-2024-F 41,"",sent,""
1,21642,in_invoice,S/FRA/2024/0919,F000101-658,"",sent,""
1,21149,in_invoice,S/FRA/2024/0799,FV22000,Mantenimiento Odoo,sent,""
1,6387,in_invoice,S/FRA/2022/0377,000177,"",sent,""
1,21672,in_invoice,S/FRA/2024/0909,6.891,"",sent,""
1,26723,in_invoice,S/FRA/2025/0758,125/2025,"",not_sent,""
1,19957,in_invoice,S/FRA/2024/0535,040/325993,"",sent,""
1,23837,in_invoice,S/FRA/2025/0246,2025112,"",sent,""
1,19786,in_invoice,S/FRA/2024/0481,24-78,"",sent,""
1,26467,in_invoice,S/FRA/2025/0754,PE013465,"",not_sent,""
1,20603,in_invoice,S/FRA/2024/0742,05/2024,"",sent,""
1,20081,in_invoice,S/FRA/2024/0748,FA 242212,"",sent,""
1,6396,in_invoice,S/FRA/2022/0370,30-0,"",sent,""
1,22048,in_invoice,S/FRA/2024/0982,15/2024,"",sent,""
1,19790,in_invoice,S/FRA/2024/0485,006/2024,"",sent,""
1,20329,in_invoice,S/FRA/2024/0699,F139-2024,"",sent,""
1,20672,in_invoice,S/FRA/2024/0733,A-V2024-00004747259,"",sent,""
1,6401,in_invoice,S/FRA/2022/0374,I513502F0000065,"",sent,""
1,19907,in_invoice,S/FRA/2024/0471,AF/2982/01,"",sent,""
1,26492,in_invoice,/,25/566,"",not_sent,""
1,19673,in_invoice,S/FRA/2024/0464,1TSN240900061033,"",sent,""
1,21515,in_invoice,S/FRA/2024/0879,FA2400475,"",sent,""
1,319,in_invoice,S/FRA/2021/0237,1NSN210600037867,"",not_sent,""
1,459,in_invoice,S/FRA/2021/0292,1NSN210700244183,"",not_sent,""
1,26906,in_invoice,/,"","",not_sent,""
1,17140,in_invoice,S/FRA/2024/0168,000038,"",sent,""
1,20281,in_invoice,S/FRA/2024/0566,OO/2024/011,"",sent,""
1,21516,in_invoice,S/FRA/2024/0876,FA2410806,"",sent,""
1,26728,in_invoice,S/FRA/2025/0756,035,"",not_sent,""
1,19984,in_invoice,S/FRA/2024/0515,000223,"",sent,""
1,18426,in_invoice,S/FRA/2024/0320,OO/2024/006,"",sent,""
1,20400,in_invoice,S/FRA/2024/0661,A 240550,"",sent,""
1,2893,in_invoice,S/FRA/2021/0553,RI 21000306,"",sent,""
1,26669,in_invoice,S/FRA/2025/0760,16/2025,"",not_sent,""
1,6372,in_invoice,S/FRA/2022/0403,A/2595/2022,"",sent,""
1,26713,in_invoice,S/FRA/2025/0739,1NSN251100230535,"",not_sent,""
1,19985,in_invoice,S/FRA/2024/0516,000224,"",sent,""
1,16560,in_invoice,S/FRA/2024/0094,1TSN240100416616,"",sent,""
1,21123,in_invoice,S/FRA/2024/0809,13-2024,"",sent,""
1,20682,in_invoice,S/FRA/2024/0723,A-1554,"",sent,""
