id,company_id,move_type,name,ref,src_state,aeat_send_error
24862,1,in_invoice,S/FRA/2025/0409,18742501P0155879,sent,"{
    'CSV': 'E3X6HZNTUUSQN6XH',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24863,1,in_invoice,S/FRA/2025/0408,Y252051154,sent,"{
    'CSV': 'R2LRDS9JL53C8S3M',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24864,1,in_invoice,S/FRA/2025/0407,Y250099288,sent,"{
    'CSV': 'CJVYC4CK3NEKKYG2',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24865,1,in_invoice,S/FRA/2025/0406,J252066337,sent,"{
    'CSV': 'DH3YSKZUAVAMQYHE',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24866,1,in_invoice,S/FRA/2025/0405,J250055189,sent,"{
    'CSV': 'GZX4EYTQRCAVDYRP',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24895,1,in_invoice,S/FRA/2025/0404,A10019785566-0625,sent,"{
    'CSV': 'LRTFJRYWM5LGZ76V',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24897,1,in_invoice,S/FRA/2025/0403,312-KF25-6536,sent,"{
    'CSV': 'DAUAUHTALCKVFVZV',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24898,1,in_invoice,S/FRA/2025/0402,A10019855625-0725,sent,"{
    'CSV': 'JGRP9AG8BW3SHTXB',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24899,1,in_invoice,S/FRA/2025/0401,A10019889170-0725,sent,"{
    'CSV': 'TCHNU6D5CRDJU46T',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24900,1,in_invoice,S/FRA/2025/0400,312-KF25-7055,sent,"{
    'CSV': 'YB3KKY2XP28YFTAQ',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24901,1,in_invoice,S/FRA/2025/0399,25/19,sent,"{
    'CSV': '2EWKYJ87BTBRD2VF',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24849,1,in_invoice,S/FRA/2025/0398,250132,sent,"{
    'CSV': 'CXA6QWDPVCD93Q7N',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24780,1,in_invoice,S/FRA/2025/0397,16/2025,sent,"{
    'CSV': 'ABKH2LLFTP6ZZSG4',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24825,1,in_invoice,S/FRA/2025/0396,ES 25A-005,sent,"{
    'CSV': '9ET3XB4TQ7L3MHSN',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24758,1,in_invoice,S/FRA/2025/0395,2025/001,sent,"{
    'CSV': '2WM3ECEQZH9B7EYW',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24775,1,in_invoice,S/FRA/2025/0394,2025000591,sent,"{
    'CSV': 'GZ8WLX3YC9NEXN4A',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
