move_id,name,ref,payment_reference,company_id,sii_state,src_state,aeat_send_error
11354,T/2023/0003,T3,T/2023/0003,1,sent,sent,
13663,J/2023/0018,,J/2023/0018,1,sent,sent,
13908,C/2023/0013,,C/2023/0013,1,sent,sent,
620,A/2021/0013,A01 A B001,A/2021/0001,1,not_sent,not_sent,
795,A/2021/0022,A06 A B006,A/2021/0006,1,not_sent,not_sent,
19203,J/2024/0019,,J/2024/0019,1,sent,sent,
798,C/2021/0005,C5,C/2021/0005,1,not_sent,not_sent,
22533,C/2025/0001,,C/2025/0001,1,sent,sent,
801,J/2021/0009,J9,J/2021/0008,1,not_sent,not_sent,
19489,C/2024/0007,,C/2024/0007,1,sent,sent,
12291,T/2023/0009,,T/2023/0009,1,sent,sent,
11474,T/2023/0004,T4,T/2023/0004,1,sent,sent,
3239,C/2021/0008,C8,C/2021/0008,1,not_sent,not_sent,
8917,J/2022/0022,J22,J/2022/0022,1,sent,sent,
20215,C/2024/0014,,C/2024/0014,1,sent,sent,
20930,T/2024/0005,,T/2024/0005,1,sent,sent,
624,C/2021/0003,C3,C/2021/0003,1,not_sent,not_sent,
622,C/2021/0001,C1,C/2021/0001,1,not_sent,not_sent,
625,C/2021/0004,C4,C/2021/0004,1,not_sent,not_sent,
648,J/2021/0001,J1,J/2021/0001,1,not_sent,not_sent,
649,J/2021/0002,J2,J/2021/0002,1,not_sent,not_sent,
650,J/2021/0004,J4,J/2021/0003,1,not_sent,not_sent,
653,J/2021/0006,J6,J/2021/0005,1,not_sent,not_sent,
654,J/2021/0007,J7,J/2021/0006,1,not_sent,not_sent,
655,J/2021/0008,J8,J/2021/0007,1,not_sent,not_sent,
656,T/2021/0001,T1,T/2021/0001,1,not_sent,not_sent,
657,T/2021/0002,T2,T/2021/0002,1,not_sent,not_sent,
658,T/2021/0003,T3,T/2021/0003,1,not_sent,not_sent,
659,T/2021/0004,T4,T/2021/0004,1,not_sent,not_sent,
660,T/2021/0005,T5,T/2021/0005,1,not_sent,not_sent,
797,A/2021/0024,A08 A B008,A/2021/0008,1,not_sent,not_sent,
793,A/2021/0020,A04 A B004,A/2021/0004,1,not_sent,not_sent,
804,J/2021/0012,J12,J/2021/0011,1,not_sent,not_sent,
805,J/2021/0013,J13,J/2021/0012,1,not_sent,not_sent,
806,T/2021/0006,T6,T/2021/0006,1,not_sent,not_sent,
807,T/2021/0007,T7,T/2021/0007,1,not_sent,not_sent,
808,J/2021/0003,J3,J/2021/0013,1,not_sent,not_sent,
810,J/2021/0015,J15,J/2021/0015,1,sent,sent,
23100,J/2025/0009,,J/2025/0009,1,sent,sent,
8240,A/2022/0009,A09 A B009,A/2022/0009,1,not_sent,not_sent,
16082,A/2023/0019,,A/3111/0010,1,not_sent,not_sent,
2335,J/2021/0016,J16,J/2021/0016,1,sent,sent,
13948,J/2023/0022,,J/2023/0022,1,sent,sent,
21485,J/2024/0044,,J/2024/0044,1,sent,sent,
2888,J/2021/0018,J18,J/2021/0018,1,sent,sent,
23865,C/2025/0006,,C/2025/0006,1,not_sent,not_sent,
3018,A/2021/0014,A09 A B009,A/2021/0009,1,not_sent,not_sent,"1329 | Cuando el tipo de factura es F2, la suma de las bases imponi"
3019,A/2021/0015,A10 A B010,A/2021/0010,1,not_sent,not_sent,"1329 | Cuando el tipo de factura es F2, la suma de las bases imponi"
3021,A/2021/0017,A12 A B012,A/2021/0017,1,not_sent,not_sent,
3044,T/2021/0008,T8,T/2021/0008,1,sent,sent,
21241,J/2024/0040,,J/2024/0040,1,sent,sent,
21069,J/2024/0038,,J/2024/0038,1,sent,sent,
3550,T/2022/0001,T1,T/2021/0009,1,sent,sent,
3696,C/2022/0001,C1,C/2022/0001,1,sent,sent,
3697,J/2022/0001,J1,J/2022/0001,1,sent,sent,
3876,J/2022/0002,J2,J/2022/0002,1,sent,sent,
3877,J/2022/0003,J3,J/2022/0003,1,sent,sent,
3883,J/2022/0004,J4,J/2022/0004,1,sent,sent,
22146,J/2025/0004,,J/2025/0004,1,sent,sent,
