id,company_id,move_type,name,ref,src_state,aeat_send_error
22043,1,out_invoice,J/2025/0002,,sent,"{
    'CSV': '5YTJ8NMV3AHDRBMZ',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
22042,1,out_invoice,J/2025/0001,,sent,"{
    'CSV': 'BXTPTD24Q9TE2LGR',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
23099,1,out_invoice,C/2025/0004,,sent,"{
    'CSV': 'H8EUB8YT7HL9T768',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
22763,1,out_invoice,C/2025/0003,,sent,"{
    'CSV': '2C74WMVAMPFLK29D',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
22758,1,out_invoice,C/2025/0002,,sent,"{
    'CSV': '54QSD9WLJJ8ABPRE',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
22533,1,out_invoice,C/2025/0001,,sent,"{
    'CSV': 'ZKW97RFBC5NZLU2N',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
23133,1,out_invoice,A/2025/0002,,not_sent,
23132,1,out_invoice,A/2025/0001,,not_sent,
21773,1,out_invoice,J/2024/0046,,sent,"{
    'CSV': 'VEFC3DNUTQ9SVRMA',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21772,1,out_invoice,J/2024/0045,,sent,"{
    'CSV': 'M7KUHYN87B9K69GB',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21485,1,out_invoice,J/2024/0044,,sent,"{
    'CSV': '3WBKPFFAXKY6TQY5',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21484,1,out_invoice,J/2024/0043,,sent,"{
    'CSV': '3UWZAVMEYCLSXB7P',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21889,1,out_invoice,C/2024/0017,,sent,"{
    'CSV': '9TR4Q8Z6BCZVK7W6',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
22075,1,out_invoice,A/2024/0018,,not_sent,
22055,1,out_invoice,A/2024/0017,,not_sent,
22054,1,out_invoice,A/2024/0016,,not_sent,
20932,1,out_invoice,T/2024/0007,,sent,"{
    'CSV': '447VWLGZS79EKZ5J',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20931,1,out_invoice,T/2024/0006,,sent,"{
    'CSV': 'Q3T2MXH5ZJ2HCG7B',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20930,1,out_invoice,T/2024/0005,,sent,"{
    'CSV': '7PZCM9DG2W8LD7YP',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21288,1,out_invoice,J/2024/0042,,sent,"{
    'CSV': 'EL8HAW2ZGLQ7ZDB2',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21287,1,out_invoice,J/2024/0041,,sent,"{
    'CSV': 'TYWNSN4K97ZTTA9W',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21241,1,out_invoice,J/2024/0040,,sent,"{
    'CSV': 'JCU8XHKCJGXEK8KS',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21229,1,out_invoice,J/2024/0039,,sent,"{
    'CSV': '66CXV6S73SUPSQG5',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21069,1,out_invoice,J/2024/0038,,sent,"{
    'CSV': 'XM56PBDGLZRC37SV',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21034,1,out_invoice,J/2024/0037,,sent,"{
    'CSV': 'HAVVVLHGFRJY2TQ5',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20929,1,out_invoice,J/2024/0036,,sent,"{
    'CSV': 'G865A2HPXGGHAMQ4',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21556,1,out_invoice,A/2024/0015,,not_sent,
21555,1,out_invoice,A/2024/0014,,not_sent,
21554,1,out_invoice,A/2024/0013,,not_sent,
20488,1,out_invoice,J/2024/0035,,sent,"{
    'CSV': '2483JPEBC7JR9RJK',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20467,1,out_invoice,J/2024/0034,,sent,"{
    'CSV': 'GFUHNLAWWL39KY44',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20460,1,out_invoice,J/2024/0033,,sent,"{
    'CSV': 'MRLS7V29UJ7H8QB9',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20184,1,out_invoice,J/2024/0032,,sent,"{
    'CSV': 'FVUJBMLW4G3997XN',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20626,1,out_invoice,C/2024/0016,,sent,"{
    'CSV': 'W55HFQ6GY9MX38FD',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20489,1,out_invoice,C/2024/0015,,sent,"{
    'CSV': 'WBKL6NK9EGMCM9UW',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20215,1,out_invoice,C/2024/0014,,sent,"{
    'CSV': 'NUCJ475DGA2L9ZWY',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
21041,1,out_invoice,A/2024/0012,,not_sent,
21040,1,out_invoice,A/2024/0011,,not_sent,
21035,1,out_invoice,A/2024/0010,,not_sent,
19939,1,out_invoice,J/2024/0031,,sent,"{
    'CSV': 'A47QYAGDUK9F958U',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19905,1,out_invoice,J/2024/0030,,sent,"{
    'CSV': 'CSXD7M7FTB7WFU8Z',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19600,1,out_invoice,J/2024/0029,,sent,"{
    'CSV': 'EFFMVY734K6G4UNV',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19598,1,out_invoice,J/2024/0028,,sent,"{
    'CSV': 'GG4Q6BGUA792ZHMU',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19988,1,out_invoice,C/2024/0013,,sent,"{
    'CSV': 'CG43JEWRUH3PTB33',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19938,1,out_invoice,C/2024/0012,,sent,"{
    'CSV': 'GNJ79ZU47HAPND9G',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19672,1,out_invoice,C/2024/0011,,sent,"{
    'CSV': 'ASQKSMSC367N37LB',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19601,1,out_invoice,C/2024/0010,,sent,"{
    'CSV': 'PH4GDEDWW4T6RLPT',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
20134,1,out_invoice,A/2024/0009,,not_sent,
20133,1,out_invoice,A/2024/0008,,not_sent,"1329 | Cuando el tipo de factura es F2, la suma de las bases imponi"
20132,1,out_invoice,A/2024/0007,,not_sent,"1329 | Cuando el tipo de factura es F2, la suma de las bases imponi"
19462,1,out_invoice,T/2024/0004,,sent,"{
    'CSV': 'TRVZCAYZ9JUFSKD6',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19289,1,out_invoice,J/2024/0027,,sent,"{
    'CSV': 'ZCAWGYAXHSEZ33TF',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19277,1,out_invoice,J/2024/0026,,sent,"{
    'CSV': 'GSLHX4UF8XP94NCM',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19276,1,out_invoice,J/2024/0025,,sent,"{
    'CSV': 'B688MP9ZK75MHTH3',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19275,1,out_invoice,J/2024/0024,,sent,"{
    'CSV': 'P4TZHQ7TGM3N7MJJ',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19274,1,out_invoice,J/2024/0023,,sent,"{
    'CSV': '4EZZYJH9B6972UM6',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19273,1,out_invoice,J/2024/0022,,sent,"{
    'CSV': 'DTDRGR8VH6NFGJKH',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
19199,1,out_invoice,J/2024/0016,,sent,"{
    'CSV': 'V8BT5ATX9ZDR7Y32',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
